Device_Brand,Total_Registered_Users,Total_App_Opens,Engagement_Rate
Tecno,1742707970,63637206796,36.52
OnePlus,5386582130,155851796408,28.93
Apple,6182166104,169350892716,27.39
Huawei,6471102634,176849691080,27.33
Infinix,710575038,18988232202,26.72
Xiaomi,6920650384,184832408898,26.71
Samsung,6920650384,184832408898,26.71
Vivo,6920650384,184832408898,26.71
Oppo,6920650384,184832408898,26.71
Realme,6920650384,184832408898,26.71
Others,6920650384,184832408898,26.71
Motorola,6678602152,177059138476,26.51
Lenovo,5094592420,120235020970,23.60
HMD Global,79865106,1812336912,22.69
Gionee,434901416,8365127156,19.23
Lava,241898956,4612085550,19.07
Micromax,1075668454,19469874956,18.10
Asus,504436578,7930641268,15.72
COOLPAD,1002,0,0.00
Lyf,151960,0,0.00
